codebase,area
A6431-0071-00,98622.4234317444
A6435-0305-00,118054.840419585
A6426-0084-00,3107.84328169115
A6431-0094-00,212942.520849404
A6435-0312-00,107649.26569505
A6430-0113-00,134602.417191374
A6431-0089-00,75575.6292834192
A6435-0322-00,267251.445944498
A6430-0126-00,130216.082831044
A6431-0123-00,210480.704597246
A6426-0125-00,8545.64619984983
A6426-0124-00,10122.1630699219
A6425-0199-00,17590.7603682984
A6431-0127-00,50903.716032743
A6425-0213-00,137870.853113087
A6431-0130-00,96541.6620000225
A6426-0162-00,10196.4570321814
A6423-0025-00,81272.7333506315
A6431-0139-00,54109.7554324039
A6426-0183-00,9457.67570656463
A6425-0243-00,165142.501830711
A6431-0153-00,243348.40294432
A6431-0148-00,169145.39149521
A6425-0218-00,9600.08175598905
A6426-0179-00,9612.12777823253
A6426-0188-00,81691.7804864566
A6430-0162-00,23153.715967031
A6430-0161-00,15488.3447976093
A6430-0182-00,236879.610231918
A6423-0033-00,42107.3753268573
A6431-0155-00,167463.027326527
A6430-0172-00,91428.7196986596
A6426-0195-00,1810.59488248963
A6430-0160-00,9896.03584448029
A6431-0185-00,526004.047906032
A6423-0061-00,107474.915410831
A6430-0189-00,14624.950206131
A6425-0255-00,23427.0616498767
A6430-0190-00,24286.8670929133
A6430-0205-00,176533.960204121
A6432-0133-00,550098.442765095
A6425-0253-00,6332.77730077897
A6424-0015-00,149213.103094925
A6423-0086-00,14445.2832599076
A6424-0013-00,90191.1905801438
A6425-0282-00,47625.2884594402
A6431-0209-00,557150.440991292
A6431-0198-00,138172.649176382
A6424-0031-00,146053.358632058
A6423-0152-00,251897.882073648
A6431-0221-00,193961.212647668
A6423-0153-00,83508.3761449733
A6424-0027-00,149904.376190341
A6423-0145-00,16749.7083294722
A6426-0223-00,11622.0589965023
A6423-0140-00,8924.84166089438
A6423-0144-00,17271.9283640578
A6425-0307-00,3086.79233823781
A6425-0327-00,550817.086299714
A6426-0225-00,32651.8238017559
A6423-0146-00,14698.6223350757
A6425-0313-00,16070.8141426392
A6425-0312-00,4236.99602420926
A6425-0314-00,5143.50819762128
A6423-0148-00,15632.8028442287
A6424-0035-00,577100.183523238
A6431-0226-00,280040.482133586
A6434-0154-00,92461.3316633832
A6435-0177-00,204120.37773007
A6435-0179-00,213880.808221586
A6434-0163-00,1812992.84315665
A6434-0158-00,246677.55759327
A6430-0037-00,310589.140775909
A6435-0202-00,165900.208961391
A6435-0207-00,229816.025820598
A6435-0205-00,86447.0401661285
A6430-0046-00,202769.576962046
A6430-0048-00,245467.224950926
A6435-0232-00,180131.980387795
A6435-0234-00,142081.136682607
A6435-0233-00,217700.145101827
A6431-0010-00,207709.518180068
A6430-0087-00,346325.055650047
A6435-0260-00,109537.341514881
A6431-0022-00,204551.129483693
A6426-0016-00,1830.47711359136
A6426-0020-00,17414.0108113136
A6432-0109-00,184243.726551637
A6426-0018-00,2719.15543494416
A6431-0033-00,34957.0716758292
A6431-0036-00,149544.621291741
A6431-0045-00,330390.863903081
A6426-0056-00,58995.6589042598
A6425-0032-00,24904.1511011467
A6435-0297-00,303761.753253189
A6425-0025-00,2355.57705561441
A6426-0052-00,10115.1939918865
A6435-0295-00,184924.399882226
A6431-0054-00,127665.597421614
A6435-0309-00,340481.221365134
A6425-0101-00,11055.8577609456
A6425-0100-00,4040.95605545914
A6431-0076-00,324842.527657948
A6425-0106-00,5170.72367165612
A6431-0078-00,302617.081698797
A6425-0177-00,328981.899918274
A6430-0114-00,134959.124813959
A6430-0135-00,242426.026809262
A6436-0011-00,13914323.7549225
A6430-0117-00,6897.34033404004
A6430-0125-00,117994.896412811
A6426-0130-00,26346.3497602394
A6426-0133-00,35290.2120803079
A6431-0104-00,58989.8687566871
A6431-0147-00,598096.687959975
A6432-0125-00,544798.868305913
A6426-0165-00,19202.6505731614
A6425-0211-00,84781.5033934314
A6431-0165-00,702634.464764875
A6430-0165-00,294245.912147936
A6431-0164-00,80983.6239154797
A6435-0332-00,167128.081397212
A6423-0034-00,15632.086274624
A6426-0199-00,3401.29585541071
A6426-0201-00,5798.66457042529
A6430-0177-00,279899.999290257
A6426-0212-00,138185.22728376
A6424-0009-00,152266.421698538
A6430-0207-00,84555.4004887285
A6426-0215-00,165246.685253897
A6423-0060-00,75284.1867771904
A6430-0225-00,33888.0843443869
A6423-0099-00,140149.751109816
A6423-0084-00,8052.86412075312
A6430-0219-00,16303.9991566075
A6431-0200-00,264108.305402366
A6431-0193-00,165388.518828671
A6423-0087-00,8240.66400294388
A6424-0018-00,103109.978928931
A6430-0275-00,612558.615706604
A6423-0157-00,89485.9302771249
A6424-0032-00,51494.2900708845
A6423-0150-00,6857.95294044658
A6426-0224-00,10837.8506006266
A6431-0230-00,196441.313403367
A6423-0158-00,25177.9378018473
A6425-0316-00,4450.49972877189
A6423-0160-00,28531.4016699075
A6422-0037-00,627706.323501706
A6425-0318-00,9509.85496941704
A6424-0039-00,295291.211817339
A6431-0229-00,148766.964250869
A6431-0228-00,128062.974581834
A6435-0171-00,65450.8118326648
A6430-0039-00,276840.644946787
A6435-0185-00,321426.619995125
A6435-0181-00,149453.94217575
A6434-0165-00,200889.030134357
A6430-0054-00,204782.770540519
A6430-0045-00,152825.810109149
A6435-0235-00,145251.853552463
A6435-0236-00,171546.438098874
A6435-0237-00,251287.397114176
A6432-0104-00,312837.584024223
A6435-0267-00,385987.90137051
A6435-0257-00,35670.8721375313
A6430-0088-00,313628.604312464
A6426-0002-00,60555.8487755499
A6431-0023-00,148760.430289627
A6425-0009-00,64340.1986447108
A6435-0286-00,238234.370960771
A6430-0096-00,229275.872522552
A6431-0038-00,106589.972108705
A6426-0054-00,14534.1016500645
A6425-0026-00,1176.83367676888
A6425-0029-00,4202.55451368144
A6425-0040-00,27908.9024567492
A6431-0056-00,131620.680602154
A6425-0034-00,10989.0452934415
A6430-0103-00,256817.220568807
A6425-0030-00,1769.49182123946
A6425-0039-00,7173.02540565085
A6425-0110-00,15281.5746068187
A6425-0102-00,7230.15910202722
A6425-0103-00,8761.20267802481
A6425-0107-00,4337.80407387164
A6430-0111-00,295983.446889944
A6425-0138-00,121831.007879976
A6426-0070-00,31610.6059059728
A6425-0109-00,2309.01628822482
A6435-0314-00,306246.750566414
A6425-0163-00,62379.6660427968
A6426-0092-00,4725.22597104255
A6426-0100-00,61639.5036200365
A6422-0006-00,462815.064209262
A6431-0085-00,18246.5807577108
A6425-0188-00,96305.4647940708
A6426-0126-00,6809.94785994995
A6426-0153-00,141669.493262253
A6425-0180-00,24325.8034649909
A6426-0129-00,6956.71938033821
A6431-0115-00,163088.313065411
A6435-0323-00,193643.59260053
A6432-0123-00,629948.874158704
A6426-0164-00,22531.8623747605
A6426-0163-00,8126.49731746385
A6430-0147-00,230351.508836916
A6435-0327-00,195234.617754313
A6423-0011-00,125714.334059753
A6430-0133-00,15365.444136138
A6431-0154-00,325000.4482482
A6430-0164-00,33405.6956271272
A6423-0026-00,30748.055939734
A6431-0152-00,107816.24874419
A6435-0331-00,169912.649886372
A6431-0213-00,409504.423989114
A6425-0251-00,375228.205205838
A6426-0200-00,2421.44800466386
A6430-0185-00,259324.114366179
A6422-0018-00,461371.620264802
A6423-0035-00,10865.2949452474
A6425-0261-00,33923.8798047405
A6425-0260-00,53161.0305574185
A6431-0177-00,172838.871690606
A6431-0176-00,189964.658562951
A6425-0258-00,32369.2964753587
A6425-0257-00,50841.2207908305
A6430-0204-00,15724.0937502436
A6423-0070-00,126122.703757269
A6423-0097-00,247737.104077643
A6430-0218-00,4009.52366091262
A6430-0259-00,209614.789391029
A6431-0205-00,200136.384551634
A6430-0276-00,186390.82552568
A6425-0328-00,266687.776630538
A6422-0036-00,199691.034176673
A6423-0173-00,97441.7976889829
A6431-0233-00,203428.72819584
A6425-0323-00,61160.166018858
A6423-0166-00,16945.0092330525
A6431-0232-00,142495.047116359
A6431-0223-00,39518.4799014643
A6426-0229-00,53441.1171289605
A6425-0324-00,82519.7690846696
A6435-0184-00,203401.943682626
A6435-0188-00,289127.185760119
A6435-0190-00,268738.968186275
A6431-0007-00,556398.417801327
A6431-0008-00,695124.929002028
A6431-0013-00,332606.226819744
A6435-0251-00,1128271.12110589
A6435-0238-00,249086.700957086
A6431-0011-00,295627.876587816
A6430-0071-00,173675.593026882
A6436-0007-00,27439091.9535463
A6430-0090-00,254744.596471153
A6430-0091-00,474971.578191801
A6432-0107-00,81504.904316739
A6435-0264-00,57514.8463985604
A6431-0027-00,267099.885950576
A6422-0003-00,1976875.54256465
A6431-0024-00,127696.688125624
A6425-0012-00,73404.1572645649
A6426-0022-00,2689.4747337756
A6426-0051-00,364188.664459533
A6425-0018-00,252207.806702538
A6425-0010-00,54869.583015099
A6426-0023-00,5401.4549763386
A6430-0099-00,624368.597036519
A6430-0101-00,202196.877365211
A6425-0044-00,22915.3596926071
A6425-0035-00,5582.10552468469
A6425-0033-00,1862.76319347075
A6425-0041-00,5369.67700160467
A6431-0062-00,202122.786232831
A6430-0107-00,170106.085930285
A6425-0111-00,3664.49810274988
A6425-0120-00,10708.7346472787
A6425-0122-00,29546.4461154456
A6426-0072-00,96666.8933323062
A6435-0306-00,194302.354784585
A6435-0315-00,202707.460313906
A6435-0318-00,185370.335265321
A6426-0095-00,19730.4899551616
A6426-0094-00,8109.29675540839
A6431-0086-00,53116.3533567912
A6425-0197-00,133101.760369375
A6430-0118-00,15429.5026964116
A6435-0325-00,266659.952473295
A6431-0108-00,89554.4840067086
A6426-0134-00,16149.1571750891
A6425-0183-00,65848.5646024164
A6425-0198-00,143084.548319863
A6425-0181-00,27495.5365874619
A6426-0131-00,4886.16137503291
A6431-0111-00,60023.7902338146
A6430-0139-00,115181.373483507
A6431-0138-00,243678.833891462
A6430-0138-00,81299.8404115017
A6432-0130-00,438397.223174448
A6425-0235-00,122978.325159039
A6430-0149-00,11333.0366664384
A6430-0146-00,9732.01139460252
A6426-0182-00,9352.37342372774
A6423-0027-00,77437.1462337999
A6425-0233-00,186971.855397182
A6431-0140-00,35842.6512850039
A6426-0185-00,14584.1488304289
A6430-0167-00,38338.8675269635
A6426-0202-00,4497.51705481255
A6432-0129-00,454875.32741747
A6430-0188-00,326845.06794735
A6422-0022-00,1672959.29824859
A6430-0174-00,76754.5706939082
A6431-0163-00,236317.446361049
A6423-0036-00,9352.41550568808
A6425-0234-00,8284.75795293774
A6430-0208-00,336175.325919501
A6436-0010-00,241620.192367491
A6431-0182-00,154103.493975903
A6425-0259-00,25799.4959551326
A6425-0277-00,340580.42221841
A6424-0016-00,104808.203338767
A6430-0221-00,11859.2916800028
A6431-0203-00,373193.244929127
A6425-0284-00,34225.1559316863
A6431-0189-00,78881.4677602575
A6430-0230-00,69181.1591132021
A6423-0172-00,113707.409315102
A6423-0178-00,123626.453584553
A6423-0180-00,124503.2934553
A6426-0231-00,73773.9734021419
A6431-0254-00,149174.009192124
A6430-0273-00,108898.624570812
A6425-0325-00,65175.9699883024
A6431-0239-00,225126.179444491
A6431-0241-00,151259.869385393
A6425-0330-00,187396.746073468
A6426-0239-00,308977.609456374
A6423-0176-00,95659.9570185389
A6425-0326-00,40233.7564261386
A6423-0174-00,125578.831459603
A6435-0180-00,284938.17259562
A6431-0006-00,5755943.55592425
A6435-0178-00,113342.121248026
A6435-0183-00,344825.611398329
A6435-0209-00,175342.311421196
A6432-0101-00,243073.218742952
A6435-0211-00,244023.270824635
A6430-0051-00,129045.851812318
A6430-0072-00,139529.311766889
A6430-0068-00,43982.7948966963
A6430-0069-00,131011.806379705
A6435-0240-00,136558.413964638
A6435-0241-00,183098.179104195
A6435-0242-00,140747.487543706
A6435-0269-00,189178.963351081
A6431-0031-00,537453.474363205
A6426-0004-00,19538.7532144529
A6435-0265-00,170574.202426341
A6431-0039-00,134137.622427692
A6430-0098-00,260281.071544265
A6426-0025-00,13600.391161618
A6426-0024-00,2162.35077885198
A6426-0026-00,5509.14522776408
A6431-0041-00,103262.034870596
A6425-0016-00,69777.7291771419
A6425-0037-00,4419.56170436997
A6425-0036-00,3920.20008278921
A6432-0114-00,339981.021673615
A6425-0052-00,14704.9101118392
A6425-0043-00,8842.85925919575
A6425-0038-00,3448.19782475055
A6435-0300-00,140060.227749296
A6425-0061-00,44878.0814743806
A6425-0083-00,128593.095239573
A6431-0098-00,995630.583893315
A6425-0113-00,10947.5782617279
A6426-0074-00,43593.6671227097
A6425-0112-00,9685.67856181819
A6425-0114-00,10788.5102157942
A6435-0308-00,385422.098060102
A6425-0115-00,5652.46063137344
A6435-0307-00,331039.763769407
A6431-0087-00,19425.1704962353
A6431-0102-00,314437.779384388
A6426-0096-00,5242.80504002311
A6426-0098-00,41501.3778459632
A6426-0097-00,7665.9282694223
A6426-0093-00,3868.37920460801
A6435-0317-00,356638.991614737
A6425-0161-00,79706.5673898893
A6425-0166-00,161831.889092047
A6431-0105-00,31222.1243484735
A6424-0002-00,507174.767362462
A6426-0132-00,7310.67184297985
A6430-0124-00,63068.2548858253
A6431-0121-00,146624.045410982
A6426-0138-00,16108.8113889469
A6426-0135-00,4575.70308533322
A6431-0137-00,208961.450702544
A6425-0215-00,34573.7133982362
A6423-0005-00,8056.87021974207
A6435-0329-00,172199.101098541
A6426-0166-00,11682.4575192897
A6425-0206-00,26246.9243189524
A6430-0156-00,111273.1034922
A6426-0184-00,12103.0431213696
A6425-0236-00,295615.130428809
A6423-0030-00,68070.6203397006
A6422-0015-00,298341.080882346
A6426-0203-00,12154.9569013958
A6431-0167-00,245967.576198114
A6430-0168-00,16772.7884147801
A6426-0208-00,18149.7233151475
A6426-0205-00,28044.8616069858
A6425-0237-00,6391.31936654894
A6423-0052-00,207260.205561794
